no;block_unique;block;block.pair;cz;population;isoline;treatment;temperature;repr.type;sum;propN_start;propN_F1;fitness;anc_pop
1;I.II_ancFOG6_Iz6;I.II;I;II;ancFOG6;Iz6;anc;20C;FOG;453;0.487091222;0.249448124;-0.237643098;X
2;I.II_ancFOG6_Iz6;I.II;I;II;ancFOG6;Iz6;anc;20C;FOG;1156;0.487091222;0.256920415;-0.230170807;X
3;I.II_ancFOG6_Iz6;I.II;I;II;ancFOG6;Iz6;anc;20C;FOG;585;0.487091222;0.25982906;-0.227262162;X
4;I.II_ancFOG6_Iz6;I.II;I;II;ancFOG6;Iz6;anc;20C;FOG;478;0.487091222;0.261506276;-0.225584946;X
5;I.I_ancFOG6_Iz6;I.I;I;I;ancFOG6;Iz6;anc;20C;FOG;276;0.593974175;0.34057971;-0.253394465;X
6;I.I_ancFOG6_Iz6;I.I;I;I;ancFOG6;Iz6;anc;20C;FOG;318;0.593974175;0.36163522;-0.232338955;X
7;I.I_ancFOG6_Iz6;I.I;I;I;ancFOG6;Iz6;anc;20C;FOG;680;0.593974175;0.369117647;-0.224856528;X
8;I.I_ancFOG6_Iz6;I.I;I;I;ancFOG6;Iz6;anc;20C;FOG;581;0.593974175;0.401032702;-0.192941473;X
9;IV.II_ancFOG6_Iz6;IV.II;IV;II;ancFOG6;Iz6;anc;20C;FOG;106;0.682481752;0.528301887;-0.154179865;X
10;IV.II_ancFOG6_Iz6;IV.II;IV;II;ancFOG6;Iz6;anc;20C;FOG;414;0.682481752;0.528985507;-0.153496245;X
11;IV.II_ancFOG6_Iz6;IV.II;IV;II;ancFOG6;Iz6;anc;20C;FOG;399;0.682481752;0.556390977;-0.126090774;X
12;IV.II_ancFOG6_Iz6;IV.II;IV;II;ancFOG6;Iz6;anc;20C;FOG;205;0.682481752;0.575609756;-0.106871996;X
13;IV.I_ancFOG6_Iz6;IV.I;IV;I;ancFOG6;Iz6;anc;20C;FOG;179;0.757575758;0.648044693;-0.109531065;X
14;IV.I_ancFOG6_Iz6;IV.I;IV;I;ancFOG6;Iz6;anc;20C;FOG;581;0.757575758;0.648881239;-0.108694518;X
