block_unique;block;block.pair;cz;population;isoline;treatment;temperature;repr.type;sum;propN_start;propN_F1;;
I.II_ancFOG6_Iz6;I.II;I;II;ancFOG6;Iz6;anc;20C;FOG;453;0.48709122;0.24944812;;
I.II_ancFOG6_Iz6;I.II;I;II;ancFOG6;Iz6;anc;20C;FOG;1156;0.48709122;0.25692042;;
I.II_ancFOG6_Iz6;I.II;I;II;ancFOG6;Iz6;anc;20C;FOG;585;0.48709122;0.25982906;;
I.II_ancFOG6_Iz6;I.II;I;II;ancFOG6;Iz6;anc;20C;FOG;478;0.48709122;0.26150628;;
I.I_ancFOG6_Iz6;I.I;I;I;ancFOG6;Iz6;anc;20C;FOG;276;0.59397418;0.34057971;;
I.I_ancFOG6_Iz6;I.I;I;I;ancFOG6;Iz6;anc;20C;FOG;318;0.59397418;0.36163522;;
I.I_ancFOG6_Iz6;I.I;I;I;ancFOG6;Iz6;anc;20C;FOG;680;0.59397418;0.36911765;;
I.I_ancFOG6_Iz6;I.I;I;I;ancFOG6;Iz6;anc;20C;FOG;581;0.59397418;0.4010327;;
IV.II_ancFOG6_Iz6;IV.II;IV;II;ancFOG6;Iz6;anc;20C;FOG;106;0.68248175;0.52830189;;
IV.II_ancFOG6_Iz6;IV.II;IV;II;ancFOG6;Iz6;anc;20C;FOG;414;0.68248175;0.52898551;;
IV.II_ancFOG6_Iz6;IV.II;IV;II;ancFOG6;Iz6;anc;20C;FOG;399;0.68248175;0.55639098;;
IV.II_ancFOG6_Iz6;IV.II;IV;II;ancFOG6;Iz6;anc;20C;FOG;205;0.68248175;0.57560976;;
IV.I_ancFOG6_Iz6;IV.I;IV;I;ancFOG6;Iz6;anc;20C;FOG;179;0.75757576;0.64804469;;
IV.I_ancFOG6_Iz6;IV.I;IV;I;ancFOG6;Iz6;anc;20C;FOG;581;0.75757576;0.64888124;;
IV.I_ancFOG6_Iz6;IV.I;IV;I;ancFOG6;Iz6;anc;20C;FOG;682;0.75757576;0.65395894;;
IV.I_ancFOG6_Iz6;IV.I;IV;I;ancFOG6;Iz6;anc;20C;FOG;524;0.75757576;0.72328244;;
II.I_ancFOG8_Iz8;II.I;II;I;ancFOG8;Iz8;anc;20C;FOG;580;0.48514852;0.27586207;;
II.I_ancFOG8_Iz8;II.I;II;I;ancFOG8;Iz8;anc;20C;FOG;486;0.48514852;0.28806584;;
II.I_ancFOG8_Iz8;II.I;II;I;ancFOG8;Iz8;anc;20C;FOG;833;0.48514852;0.30012005;;
II.I_ancFOG8_Iz8;II.I;II;I;ancFOG8;Iz8;anc;20C;FOG;876;0.48514852;0.34589041;;
II.II_ancFOG8_Iz8;II.II;II;II;ancFOG8;Iz8;anc;20C;FOG;1519;0.67510549;0.44897959;;
II.II_ancFOG8_Iz8;II.II;II;II;ancFOG8;Iz8;anc;20C;FOG;1050;0.67510549;0.45714286;;
II.II_ancFOG8_Iz8;II.II;II;II;ancFOG8;Iz8;anc;20C;FOG;687;0.67510549;0.4992722;;
II.II_ancFOG8_Iz8;II.II;II;II;ancFOG8;Iz8;anc;20C;FOG;1467;0.67510549;0.50852079;;
III.II_ancFOG9_Iz9;III.II;III;II;ancFOG9;Iz9;anc;20C;FOG;478;0.54439252;0.26359833;;
III.II_ancFOG9_Iz9;III.II;III;II;ancFOG9;Iz9;anc;20C;FOG;503;0.54439252;0.29622266;;
III.II_ancFOG9_Iz9;III.II;III;II;ancFOG9;Iz9;anc;20C;FOG;675;0.54439252;0.29777778;;
III.II_ancFOG9_Iz9;III.II;III;II;ancFOG9;Iz9;anc;20C;FOG;605;0.54439252;0.29917355;;
